skill_1,skill_2,gt_conflicts,detected_conflicts,type_time_ms,semantic_time_ms,policy_time_ms
fs-pa-01,fs-pa-02,['type_conflict'],[],0.0121,0.006,0.0175
fs-pa-01,fs-pa-03,['type_conflict'],['type_conflict'],0.0135,0.0023,0.0051
fs-pa-01,fs-pa-04,['type_conflict'],['type_conflict'],0.0044,0.001,0.0017
fs-pa-01,fs-ra-01,['type_conflict'],['type_conflict'],0.004,0.0007,0.0015
fs-pa-01,fs-ra-02,['type_conflict'],['type_conflict'],0.0034,0.0006,0.0015
fs-pa-01,fs-ra-03,['type_conflict'],['type_conflict'],0.0028,0.0007,0.0012
fs-pa-01,fs-ra-04,['type_conflict'],['type_conflict'],0.0015,0.0006,0.0011
fs-pa-01,fs-rc-01,['type_conflict'],['type_conflict'],0.002,0.0006,0.0018
fs-pa-01,fs-rc-02,['type_conflict'],['type_conflict'],0.0062,0.0007,0.0016
fs-pa-01,fs-rc-03,['type_conflict'],['type_conflict'],0.0029,0.0006,0.0013
fs-pa-01,fs-rc-04,['type_conflict'],['type_conflict'],0.0022,0.0007,0.0016
fs-pa-01,fs-te-01,['type_conflict'],['type_conflict'],0.0016,0.0006,0.0006
fs-pa-01,fs-te-02,['type_conflict'],['type_conflict'],0.0019,0.0005,0.0003
fs-pa-01,fs-te-03,['type_conflict'],['type_conflict'],0.0017,0.0006,0.0015
fs-pa-01,fs-te-04,['type_conflict'],['type_conflict'],0.0025,0.0006,0.0013
fs-pa-01,fs-ar-01,['type_conflict'],['type_conflict'],0.0019,0.0007,0.0012
fs-pa-01,fs-ar-02,['type_conflict'],['type_conflict'],0.0017,0.0005,0.0012
fs-pa-01,fs-ar-03,['type_conflict'],['type_conflict'],0.0014,0.0006,0.0013
fs-pa-01,fs-ar-04,['type_conflict'],['type_conflict'],0.0021,0.0006,0.0012
fs-pa-01,fs-ca-01,['type_conflict'],['type_conflict'],0.003,0.0008,0.0004
fs-pa-01,fs-ca-02,['type_conflict'],['type_conflict'],0.003,0.0007,0.0002
fs-pa-01,fs-ca-03,['type_conflict'],['type_conflict'],0.0018,0.0006,0.0002
fs-pa-01,fs-ca-04,['type_conflict'],[],0.0011,0.0008,0.0012
fs-pa-01,hc-cd-01,['type_conflict'],['type_conflict'],0.0036,0.0006,0.0004
fs-pa-01,hc-cd-02,['type_conflict'],['type_conflict'],0.0036,0.0007,0.0002
fs-pa-01,hc-cd-03,['type_conflict'],['type_conflict'],0.0027,0.0005,0.0002
fs-pa-01,hc-cd-04,['type_conflict'],['type_conflict'],0.0028,0.0006,0.0002
fs-pa-01,hc-da-01,['type_conflict'],['type_conflict'],0.0027,0.0007,0.0002
fs-pa-01,hc-da-02,['type_conflict'],['type_conflict'],0.0032,0.0005,0.0002
fs-pa-01,hc-da-03,['type_conflict'],['type_conflict'],0.0038,0.0007,0.0003
fs-pa-01,hc-da-04,['type_conflict'],['type_conflict'],0.0027,0.0006,0.0001
fs-pa-01,hc-tp-01,['type_conflict'],['type_conflict'],0.0032,0.0009,0.0002
fs-pa-01,hc-tp-02,['type_conflict'],['type_conflict'],0.004,0.0006,0.0002
fs-pa-01,hc-tp-03,['type_conflict'],['type_conflict'],0.0027,0.0007,0.0002
fs-pa-01,hc-tp-04,['type_conflict'],['type_conflict'],0.0027,0.0006,0.0002
fs-pa-01,hc-iv-01,['type_conflict'],['type_conflict'],0.0026,0.0006,0.0002
fs-pa-01,hc-iv-02,['type_conflict'],['type_conflict'],0.0029,0.0006,0.0002
fs-pa-01,hc-iv-03,['type_conflict'],['type_conflict'],0.0018,0.0006,0.0002
fs-pa-01,hc-iv-04,['type_conflict'],['type_conflict'],0.0028,0.0007,0.0002
fs-pa-01,hc-hc-01,['type_conflict'],['type_conflict'],0.002,0.0006,0.0002
fs-pa-01,hc-hc-02,['type_conflict'],['type_conflict'],0.0025,0.0006,0.0002
fs-pa-01,hc-hc-03,['type_conflict'],['type_conflict'],0.0014,0.0006,0.0002
fs-pa-01,hc-hc-04,['type_conflict'],['type_conflict'],0.0026,0.0006,0.0002
fs-pa-01,hc-mr-01,['type_conflict'],['type_conflict'],0.0019,0.0005,0.0001
fs-pa-01,hc-mr-02,['type_conflict'],['type_conflict'],0.0025,0.0006,0.0002
fs-pa-01,hc-mr-03,['type_conflict'],['type_conflict'],0.0027,0.0005,0.0001
fs-pa-02,fs-pa-03,['type_conflict'],['type_conflict'],0.0018,0.0007,0.0014
fs-pa-02,fs-pa-04,['type_conflict'],[],0.0011,0.0007,0.0013
fs-pa-02,fs-ra-01,['type_conflict'],['type_conflict'],0.0016,0.0005,0.0012
fs-pa-02,fs-ra-02,['type_conflict'],['type_conflict'],0.002,0.0006,0.0012
fs-pa-02,fs-ra-03,['type_conflict'],['type_conflict'],0.0017,0.0005,0.0012
fs-pa-02,fs-ra-04,['type_conflict'],[],0.0009,0.0005,0.001
fs-pa-02,fs-rc-01,['type_conflict'],['type_conflict'],0.0017,0.0005,0.0012
fs-pa-02,fs-rc-02,['type_conflict'],['type_conflict'],0.0033,0.0005,0.0012
fs-pa-02,fs-rc-03,['type_conflict'],['type_conflict'],0.0023,0.0005,0.0015
fs-pa-02,fs-rc-04,['type_conflict'],['type_conflict'],0.0019,0.0005,0.0011
fs-pa-02,fs-te-01,['type_conflict'],['type_conflict'],0.0014,0.0006,0.0003
fs-pa-02,fs-te-02,['type_conflict'],['type_conflict'],0.0018,0.0006,0.0002
fs-pa-02,fs-te-03,['type_conflict'],['type_conflict'],0.0012,0.0005,0.0013
fs-pa-02,fs-te-04,['type_conflict'],['type_conflict'],0.0024,0.0005,0.0013
fs-pa-02,fs-ar-01,['type_conflict'],['type_conflict'],0.0017,0.0006,0.0012
fs-pa-02,fs-ar-02,['type_conflict'],['type_conflict'],0.0017,0.0007,0.0013
fs-pa-02,fs-ar-03,['type_conflict'],['type_conflict'],0.0013,0.0006,0.0012
fs-pa-02,fs-ar-04,['type_conflict'],['type_conflict'],0.0017,0.0005,0.0011
fs-pa-02,fs-ca-01,['type_conflict'],['type_conflict'],0.0028,0.0005,0.0003
