chain_length,repetition,discovery_ms,negotiation_ms,contracting_ms,total_ms,plan_valid
2,0,1.642,3.206,0.0,4.848,False
2,1,1.915,3.124,0.0,5.039,False
2,2,1.175,2.686,0.0,3.861,False
2,3,1.316,2.938,0.0,4.254,False
2,4,1.727,3.583,0.0,5.31,False
2,5,1.791,2.906,0.0,4.697,False
2,6,1.833,3.083,0.0,4.916,False
2,7,1.162,3.449,0.0,4.611,False
2,8,1.809,2.628,0.0,4.438,False
2,9,1.778,2.616,0.0,4.393,False
2,10,1.369,2.544,0.0,3.913,False
2,11,1.946,2.347,0.0,4.293,False
2,12,1.849,2.265,0.0,4.114,False
2,13,1.678,2.688,0.0,4.366,False
2,14,1.717,3.089,0.0,4.806,False
2,15,1.24,2.689,0.0,3.93,False
2,16,1.694,2.989,0.0,4.683,False
2,17,1.881,3.278,0.0,5.159,False
2,18,2.2,2.775,0.0,4.975,False
2,19,1.66,2.961,0.0,4.62,False
2,20,2.094,2.928,0.0,5.022,False
2,21,0.826,3.147,0.0,3.973,False
2,22,1.904,3.473,0.0,5.377,False
2,23,1.488,2.879,0.0,4.367,False
2,24,2.188,3.21,0.0,5.398,False
2,25,1.571,2.941,0.0,4.512,False
2,26,1.555,3.725,0.0,5.279,False
2,27,1.708,2.824,0.0,4.532,False
2,28,1.878,2.66,0.0,4.538,False
2,29,1.721,2.874,0.0,4.596,False
2,30,1.682,2.955,0.0,4.638,False
2,31,1.93,2.293,0.0,4.222,False
2,32,1.63,3.371,0.0,5.001,False
2,33,1.686,2.242,0.0,3.927,False
2,34,2.062,3.154,0.0,5.216,False
2,35,1.475,3.076,0.0,4.551,False
2,36,1.823,2.179,0.0,4.001,False
2,37,1.863,3.61,0.0,5.473,False
2,38,2.039,2.265,0.0,4.304,False
2,39,1.628,2.029,0.0,3.657,False
2,40,1.578,2.689,0.0,4.267,False
2,41,2.37,2.914,0.0,5.284,False
2,42,1.947,3.083,0.0,5.03,False
2,43,1.522,3.529,0.0,5.051,False
2,44,1.383,2.63,0.0,4.014,False
2,45,1.428,2.851,0.0,4.28,False
2,46,1.532,3.246,0.0,4.779,False
2,47,1.497,3.161,0.0,4.658,False
2,48,1.821,2.653,0.0,4.474,False
2,49,2.088,2.33,0.0,4.418,False
4,0,2.626,4.581,0.0,7.207,False
4,1,2.255,3.913,0.0,6.169,False
4,2,2.501,4.124,0.0,6.625,False
4,3,2.689,4.233,0.0,6.922,False
4,4,2.817,3.421,0.0,6.238,False
4,5,2.665,4.332,0.0,6.997,False
4,6,3.497,2.69,0.0,6.186,False
4,7,1.265,5.294,0.0,6.558,False
4,8,2.682,3.887,0.0,6.569,False
4,9,1.807,3.82,0.0,5.627,False
4,10,1.048,5.663,0.0,6.711,False
4,11,2.095,4.999,0.0,7.094,False
4,12,3.376,5.471,0.0,8.846,False
4,13,2.58,5.548,0.0,8.128,False
4,14,1.781,3.509,0.0,5.29,False
4,15,3.323,4.007,0.0,7.33,False
4,16,2.034,3.882,0.0,5.916,False
4,17,2.409,3.961,0.0,6.37,False
4,18,3.036,4.823,0.0,7.859,False
4,19,2.012,4.48,0.0,6.492,False
4,20,3.007,3.645,0.0,6.652,False
4,21,1.833,5.568,0.0,7.401,False
4,22,2.221,4.302,0.0,6.523,False
4,23,3.579,2.711,0.0,6.29,False
4,24,2.079,4.484,0.0,6.563,False
4,25,1.911,3.881,0.0,5.792,False
4,26,2.095,5.236,0.0,7.331,False
4,27,2.746,3.496,0.0,6.241,False
4,28,2.525,4.271,0.0,6.797,False
4,29,1.877,3.066,0.0,4.942,False
4,30,1.821,4.409,0.0,6.23,False
4,31,1.477,5.12,0.0,6.598,False
4,32,2.855,5.004,0.0,7.859,False
4,33,2.596,4.334,0.0,6.929,False
4,34,1.801,3.2,0.0,5.001,False
4,35,1.593,4.394,0.0,5.987,False
4,36,2.452,3.846,0.0,6.298,False
4,37,1.792,5.017,0.0,6.809,False
4,38,1.467,3.507,0.0,4.974,False
4,39,3.339,4.476,0.0,7.815,False
4,40,1.78,5.641,0.0,7.421,False
4,41,2.159,3.134,0.0,5.293,False
4,42,1.319,4.66,0.0,5.979,False
4,43,2.123,4.336,0.0,6.459,False
4,44,1.853,4.39,0.0,6.243,False
4,45,2.898,4.647,0.0,7.544,False
4,46,1.478,4.522,0.0,6.0,False
4,47,2.45,3.934,0.0,6.383,False
4,48,2.018,5.042,0.0,7.06,False
4,49,2.82,4.549,0.0,7.369,False
6,0,3.59,4.877,0.0,8.467,False
6,1,3.799,5.538,0.0,9.337,False
6,2,2.399,5.895,0.0,8.293,False
6,3,3.066,7.019,0.0,10.085,False
6,4,3.354,4.585,0.0,7.939,False
6,5,2.802,6.524,0.0,9.326,False
6,6,3.273,5.785,0.0,9.058,False
6,7,3.583,7.62,0.0,11.203,False
6,8,2.033,3.649,0.0,5.682,False
6,9,2.907,4.742,0.0,7.649,False
6,10,1.671,4.288,0.0,5.959,False
6,11,1.994,3.931,0.0,5.925,False
6,12,1.694,6.607,0.0,8.301,False
6,13,3.017,5.396,0.0,8.413,False
6,14,2.154,8.592,0.0,10.746,False
6,15,3.826,4.08,0.0,7.906,False
6,16,4.081,5.178,0.0,9.259,False
6,17,2.778,5.239,0.0,8.017,False
6,18,2.495,5.7,0.0,8.195,False
6,19,1.041,5.727,0.0,6.768,False
6,20,2.955,3.493,0.0,6.449,False
6,21,2.577,5.84,0.0,8.417,False
6,22,4.645,6.287,0.0,10.933,False
6,23,1.635,4.148,0.0,5.782,False
6,24,2.106,6.681,0.0,8.787,False
6,25,4.049,4.98,0.0,9.029,False
6,26,1.835,3.762,0.0,5.597,False
6,27,3.188,6.047,0.0,9.235,False
6,28,2.071,5.447,0.0,7.518,False
6,29,2.683,6.569,0.0,9.252,False
